Amp_P0 Freq_P0 Amp_P1 Freq_P1 Filename BW_F1 BW_F2 BW_F3 BW_F4 Centroid Std_Dev Freq_F1 Freq_F2 Freq_F3 Freq_4 Amp_F1 Amp_F2 Amp_F3 Amp_F4 nPeaksDB
30.3716 46.875 34.8313 1250 abd_0.txt 38.449 23.8883 62.7998 215.495 3215 201 812.5 1250 2375 3250 22.9572 25.9791 2.99656 0.662545 11
26.3697 62.5 29.8107 1234.38 abd_0.txt 70.6937 29.5498 92.263 247.539 3245 203 828.125 1265.62 2421.88 3328.12 12.0818 20.0174 2.06686 0.681628 14
34.0299 156.25 36.5485 281.25 abd_0.txt 33.8764 35.3798 97.967 208.719 3106 194 265.625 1250 2484.38 3640.62 55.1772 12.304 1.84375 0.693226 13
40.358 125 41.8596 343.75 abd_0.txt 38.8643 23.905 75.5181 208.813 3123 195 265.625 1234.38 2453.12 3515.62 78.34 20.3392 2.4499 0.631564 16
28.9957 0 31.7874 250 abd_0.txt 65.5588 95.3586 118.104 483.909 3508 219 218.75 1296.88 2750 3609.38 22.0157 4.17899 1.56702 0.604629 26
41.9565 187.5 42.2023 265.625 abd_0.txt 27.6795 206.209 114.099 128.46 3606 225 218.75 1109.38 2546.88 3125 106.233 3.26268 3.03534 2.5449 11
29.8443 140.625 34.6282 218.75 abd_0.txt 21.2017 281.178 434.147 56.746 3141 196 218.75 1359.38 1453.12 2734.38 52.3921 1.99779 1.85674 3.36894 8
38.6073 125 46.2843 375 abd_0.txt 30.2298 68.9154 58.2951 114.406 3554 222 265.625 1453.12 2718.75 3015.62 114.864 6.4044 9.16096 4.50673 13
27.9104 125 37.2759 203.125 abd_0.txt 34.5046 103.562 65.3475 327.124 3248 203 250 1484.38 2734.38 3125 46.814 3.22949 4.04033 1.30346 14
30.3453 125 40.7116 203.125 abd_0.txt 30.7411 94.1809 54.7431 115.258 3383 211 265.625 1500 2734.38 3171.88 66.713 3.81674 6.29241 2.51188 12
28.5439 125 40.177 375 abd_0.txt 36.5697 111.966 92.3699 154.837 3427 214 265.625 1515.62 2765.62 3031.25 46.3699 3.12709 5.16241 3.4821 15
28.069 156.25 30.9665 390.625 abd_0.txt 61.6393 289.909 82.3308 99.9575 3656 228 296.875 984.375 1484.38 2765.62 26.0189 5.81117 7.66897 2.95784 27
35.0066 187.5 31.7181 781.25 abd_0.txt 109.402 67.3551 291.82 78.322 3661 228 531.25 1500 2281.25 3218.75 14.4226 9.86591 1.73907 2.39667 84
33.8999 203.125 34.1193 796.875 abd_0.txt 98.3671 66.5213 376.935 107.329 3783 236 593.75 1562.5 2093.75 3328.12 14.6499 10.791 2.24661 2.20407 86
35.5699 203.125 35.0121 812.5 abd_0.txt 99.0956 79.5077 324.661 137.8 3750 234 609.375 1562.5 1906.25 3328.12 14.0204 10.1645 3.71036 2.20593 94
34.5368 203.125 33.2421 828.125 abd_0.txt 90.3738 73.8685 243.921 66.4015 3638 227 640.625 1531.25 2125 3296.88 13.2252 9.92718 2.43574 2.83324 108
33.5642 203.125 30.6993 828.125 abd_0.txt 92.1433 64.3564 186.896 62.0693 3613 225 656.25 1515.62 2265.62 3312.5 12.803 10.755 2.32333 2.6271 70
32.8311 203.125 32.684 843.75 abd_0.txt 73.257 58.7744 158.524 90.764 3632 227 656.25 1515.62 2265.62 3250 14.4809 11.5385 2.83159 2.08067 62
30.7569 203.125 31.6668 859.375 abd_0.txt 59.4636 43.404 150.776 84.106 3638 227 671.875 1500 2359.38 3156.25 15.1396 13.1521 2.6883 2.44488 49
32.5914 218.75 33.7034 656.25 abd_0.txt 48.0835 29.4775 97.0323 68.6791 3724 232 640.625 1484.38 2468.75 3203.12 20.4037 18.789 3.74276 2.88684 33
32.6698 218.75 35.3226 640.625 abd_0.txt 48.491 30.8712 68.6442 77.5882 3647 228 609.375 1484.38 2515.62 3218.75 21.6078 16.4182 4.49705 2.29664 40
36.848 203.125 0 0 abd_0.txt 159.388 215.26 94.5186 46.7464 3397 212 406.25 468.75 1531.25 2578.12 22.2681 20.6375 6.09781 5.27693 61
41.8033 203.125 0 0 abd_0.txt 17.5945 1311.44 130.242 192.089 3042 190 234.375 281.25 1359.38 2484.38 72.792 40.256 3.4678 1.3042 7
26.3584 140.625 35.837 218.75 abd_0.txt 16.6313 147.852 263.968 167.53 3073 192 218.75 1171.88 1859.38 2828.12 59.4891 3.35005 1.52447 1.18539 6
32.7703 187.5 28.684 437.5 abd_0.txt 48.2159 57.9939 98.0151 193.181 3195 199 375 1421.88 2453.12 3359.38 21.8052 5.52335 2.01306 0.808987 20
36.3483 406.25 36.3259 593.75 abd_0.txt 36.4184 44.3323 99.8332 79.1722 3603 225 546.875 1421.88 2531.25 3156.25 39.7938 13.0406 3.31466 2.49363 14
31.8866 390.625 36.1828 765.625 abd_0.txt 24.213 45.002 83.2841 145.473 3553 222 609.375 1453.12 2656.25 3203.12 42.5304 10.167 3.22966 1.42406 10
36.0368 562.5 37.6847 750 abd_0.txt 25.0278 26.4241 71.1494 140.01 3827 239 640.625 1484.38 2671.88 3343.75 40.4467 17.1819 3.47015 1.35519 16
29.0804 546.875 32.4026 734.375 abd_0.txt 27.3099 26.8911 92.2769 182.044 3743 234 687.5 1484.38 2750 3296.88 30.9632 16.049 2.86457 1.32162 22
26.006 343.75 31.1406 718.75 abd_0.txt 26.1663 41.2006 99.8348 213.963 3555 222 703.125 1468.75 2750 3250 31.4685 10.7437 2.62691 1.1769 11
25.9852 359.375 34.5041 703.125 abd_0.txt 22.1828 59.5928 105.249 288.368 3748 234 703.125 1484.38 2765.62 3078.12 43.7609 9.32506 3.1283 1.66491 9
22.0099 531.25 29.8367 703.125 abd_0.txt 19.4076 62.2496 124.16 239.903 3643 227 687.5 1484.38 2718.75 3203.12 36.0777 6.70765 2.30639 1.20508 8
28.569 343.75 37.2903 687.5 abd_0.txt 19.5752 64.5244 106.883 157.032 3776 236 687.5 1453.12 2562.5 3171.88 46.3782 8.55832 3.17642 1.54523 8
28.8322 343.75 40.0617 687.5 abd_0.txt 14.9882 54.3022 100.352 148.203 3757 234 687.5 1437.5 2468.75 3109.38 59.1087 10.4669 3.53701 1.62747 6
24.6541 171.875 30.4941 703.125 abd_0.txt 16.4456 59.4074 102.779 204.972 3519 220 703.125 1437.5 2468.75 3171.88 42.4612 7.81698 2.77933 1.10123 6
24.9112 359.375 35.7812 703.125 abd_0.txt 15.6253 51.1454 93.2913 145.008 3583 224 703.125 1437.5 2406.25 3062.5 44.0678 9.16803 3.35058 1.50131 7
25.3862 171.875 31.1784 734.375 abd_0.txt 20.2105 39.736 103.14 178.985 3555 222 718.75 1421.88 2484.38 3187.5 35.9144 11.9632 2.77259 1.23401 8
23.5707 375 34.3732 750 abd_0.txt 17.415 29.3971 132.574 195.214 3470 217 734.375 1453.12 2484.38 3234.38 35.6953 13.9734 1.91229 1.02171 10
27.8274 187.5 35.9297 781.25 abd_0.txt 16.0851 32.6069 109.534 226.534 3381 211 750 1453.12 2484.38 3500 51.5791 16.2435 2.21345 0.705625 7
27.5667 609.375 36.7396 796.875 abd_0.txt 21.9052 68.898 131.138 278.771 3355 209 765.625 1515.62 2562.5 3562.5 37.538 7.75524 1.96095 0.647109 9
13.3488 140.625 31.5673 625 abd_0.txt 414.21 40.8353 125.069 148.987 3286 205 234.375 765.625 1609.38 2656.25 6.13353 25.9576 4.62516 1.70965 17
29.2675 421.875 33.6037 656.25 abd_0.txt 108.154 84.0576 51.0709 142.065 3256 203 578.125 796.875 1687.5 2750 22.4792 24.8025 9.56258 1.43649 48
32.6148 203.125 34.4213 656.25 abd_0.txt 113.815 75.808 26.8434 124.681 3337 208 578.125 734.375 1703.12 2765.62 28.681 31.4751 17.1866 1.6886 39
30.5707 203.125 35.4493 625 abd_0.txt 108.074 66.786 23.2374 64.7369 3373 210 515.625 750 1734.38 2781.25 20.6169 24.8405 15.2715 2.63572 41
30.6928 203.125 34.316 640.625 abd_0.txt 175.617 50.4477 26.9517 46.3726 3717 232 453.125 671.875 1859.38 2781.25 14.9246 25.0486 10.7876 3.67725 20
25.9155 250 27.4483 609.375 abd_0.txt 223.157 35.8379 26.9911 60.2477 3700 231 343.75 671.875 1906.25 2828.12 8.43086 22.7421 8.89952 2.8625 15
24.1676 640.625 30.5326 718.75 abd_0.txt 32.2908 794.462 34.8988 41.4993 3684 230 671.875 1562.5 2015.62 2906.25 19.8305 1.9518 9.33028 5.03291 14
19.7766 546.875 27.6011 625 abd_0.txt 61.3062 218.455 34.9625 30.9231 3956 247 625 1453.12 2109.38 2984.38 13.2175 3.3784 11.6462 6.39158 75
21.2124 203.125 27.5007 687.5 abd_0.txt 53.0669 88.7176 39.4067 45.2231 3556 222 593.75 1421.88 2156.25 3078.12 12.595 5.78014 7.68769 2.86583 58
28.2085 515.625 29.5498 703.125 abd_0.txt 36.2028 47.4659 108.055 72.0402 3747 234 640.625 1437.5 2328.12 3031.25 19.445 9.25736 2.7795 2.36048 22
19.0023 609.375 27.2279 687.5 abd_0.txt 31.0281 39.9399 94.8158 62.1902 3638 227 718.75 1484.38 2375 3093.75 15.2224 8.65083 2.56186 2.29279 24
22.8959 640.625 27.7915 718.75 abd_0.txt 31.4414 46.7193 132.781 62.3478 3743 234 703.125 1468.75 2375 3109.38 16.5819 8.13237 2.00781 2.4993 22
18.3991 0 27.9144 687.5 abd_0.txt 40.2584 71.153 89.8612 57.9261 3635 227 718.75 1421.88 2359.38 3140.62 13.2933 5.57282 2.69685 2.5656 35
18.1676 0 26.5249 703.125 abd_0.txt 32.7324 85.4586 110.734 57.5071 3875 242 703.125 1484.38 2484.38 3078.12 15.5938 4.30771 2.61357 3.2436 30
15.9425 156.25 24.5301 703.125 abd_0.txt 61.8282 118.703 100.239 208.771 3672 229 703.125 1593.75 2531.25 3140.62 7.36981 2.78453 2.81848 1.15081 39
37.2628 171.875 44.4234 468.75 abd_0.txt 12.5168 406.506 26.6756 60.6968 3633 227 421.875 1125 2343.75 3031.25 130.999 2.15353 10.67 3.67496 5
29.7498 171.875 40.7625 484.375 abd_0.txt 15.7674 303.149 56.7518 124.11 3196 199 421.875 1437.5 2359.38 3156.25 63.8067 1.25297 3.8683 1.35566 6
32.4309 171.875 34.6393 531.25 abd_0.txt 40.1511 297.755 91.2172 138.365 3332 208 375 718.75 2359.38 3062.5 29.3335 5.14988 2.84561 1.73795 17
38.3582 171.875 38.6452 343.75 abd_0.txt 62.4061 122.285 108.633 147.479 3236 202 390.625 453.125 2296.88 2812.5 42.4347 35.0416 2.92414 2.47015 23
20.0387 93.75 38.3784 343.75 abd_0.txt 296.847 31.9139 115.564 168.659 3251 203 171.875 437.5 2421.88 3062.5 21.0022 49.2227 2.8859 1.93248 13
34.4039 171.875 36.4876 328.125 abd_0.txt 239.016 29.3527 131.892 197.243 3338 208 265.625 453.125 2421.88 2828.12 25.7704 56.2469 3.67821 3.12727 12
36.7967 156.25 38.48 468.75 abd_0.txt 136.063 27.8088 90.97 93.3947 3588 224 281.25 468.75 2312.5 2765.62 38.2285 77.134 4.95228 5.69732 11
35.6812 156.25 36.6954 468.75 abd_0.txt 195.729 24.8606 147.122 73.6359 3452 215 296.875 468.75 2171.88 2703.12 27.6777 66.2006 2.72266 5.30851 10
31.5103 156.25 32.6533 343.75 abd_0.txt 196.615 26.626 94.3133 80.5545 3427 214 312.5 468.75 2109.38 2734.38 25.4386 57.0799 3.18951 3.61634 11
31.651 156.25 33.7351 484.375 abd_0.txt 167.393 37.0484 78.9317 90.7172 3322 207 390.625 468.75 2125 2796.88 31.1609 39.6805 3.02467 2.67528 15
32.7249 156.25 37.459 343.75 abd_0.txt 159.233 39.9904 55.8498 75.1192 3371 210 406.25 453.125 2031.25 2734.38 42.9462 46.8323 4.66302 3.10565 16
30.4024 156.25 36.597 343.75 abd_0.txt 47.4529 160.531 39.0368 86.1502 3252 203 390.625 531.25 1984.38 2796.88 34.2306 17.6256 5.30291 1.96787 20
36.7036 156.25 39.3893 343.75 abd_0.txt 41.4571 147.453 23.2491 41.8747 3368 210 312.5 546.875 1906.25 2703.12 56.5168 17.0046 11.5041 4.87912 18
29.5511 109.375 40.2868 328.125 abd_0.txt 24.4479 208.279 52.323 35.4349 3415 213 218.75 734.375 1703.12 2656.25 100.53 7.43938 7.69376 6.71831 9
37.4128 156.25 32.919 343.75 abd_0.txt 55.4688 92.4817 80.4252 197.209 3162 197 281.25 1562.5 2640.62 3687.5 25.9529 3.48682 2.17785 0.684516 24
39.1973 156.25 36.5399 359.375 abd_0.txt 36.1589 49.1213 81.9155 634.023 3148 196 312.5 1421.88 2578.12 2953.12 48.0514 8.91381 2.58244 0.888159 14
39.3189 171.875 39.4855 343.75 abd_0.txt 42.0403 70.9565 98.6145 614.79 3151 197 312.5 1359.38 2671.88 3156.25 47.2732 6.7058 2.08243 0.73745 17
41.8328 171.875 36.8473 343.75 abd_0.txt 38.1949 175.345 163.282 324.125 3117 195 265.625 1000 2531.25 2859.38 48.9684 4.75371 1.91772 1.31246 15
33.3712 125 43.0063 359.375 abd_0.txt 23.0086 190.187 103.297 1375.3 3242 202 218.75 1187.5 2609.38 3156.25 93.063 3.56555 2.7582 1.15655 9
29.2217 140.625 32.6847 375 abd_0.txt 25.0088 153.223 223.794 67.2051 3155 197 218.75 937.5 1875 2781.25 50.6443 3.94803 1.36039 2.51294 9
33.1874 125 41.7968 359.375 abd_0.txt 24.2052 118.746 287.723 66.311 3255 203 218.75 921.875 1906.25 2843.75 81.4907 7.23862 1.65494 4.27009 10
27.6186 125 37.5277 359.375 abd_0.txt 31.2757 137.109 222.251 84.0824 3304 206 234.375 937.5 1921.88 2875 47.991 5.31248 1.68478 2.81707 12
28.3732 125 39.0104 203.125 abd_0.txt 36.3897 130.88 222.039 70.2614 3303 206 218.75 828.125 1953.12 2875 46.0014 5.93951 1.40748 3.61076 15
28.9039 125 39.1865 203.125 abd_0.txt 30.7006 124.081 177.627 54.4963 3405 213 218.75 859.375 2015.62 2890.62 49.743 5.5356 1.74913 5.05664 12
26.4018 125 38.0841 203.125 abd_0.txt 47.0416 124.697 209.077 55.854 3274 204 234.375 828.125 2046.88 2921.88 35.9436 6.42302 1.53899 4.29508 20
26.2725 125 38.4891 390.625 abd_0.txt 54.3373 91.3945 271.386 68.8551 3276 204 265.625 796.875 2093.75 2906.25 41.8779 12.4495 1.58291 3.88587 25
20.4278 125 35.984 390.625 abd_0.txt 79.2697 73.0076 186.804 101.915 3135 196 281.25 796.875 1765.62 2828.12 20.5909 12.6405 1.61647 1.63376 70
22.0574 125 35.1075 390.625 abd_0.txt 66.2923 30.6206 164.491 100.609 3222 201 281.25 812.5 1828.12 2765.62 22.9819 26.5877 1.76813 1.91754 13
20.0441 140.625 33.001 406.25 abd_0.txt 86.8747 55.9993 213.221 119.804 3222 201 296.875 843.75 1812.5 2765.62 15.6668 14.0088 1.51129 1.70585 37
34.2092 203.125 33.7 609.375 abd_0.txt 58.116 61.8859 493.341 85.8973 3326 208 343.75 1000 1593.75 2640.62 21.9251 11.8986 1.55661 2.43026 52
33.029 203.125 32.1334 421.875 abd_0.txt 43.318 48.3759 599.338 58.0509 3350 209 359.375 1046.88 1437.5 2625 26.5971 13.5643 2.23441 3.40118 36
32.2877 203.125 35.3695 421.875 abd_0.txt 27.7972 43.2423 42.362 64.403 3430 214 390.625 1171.88 2609.38 3406.25 45.1119 10.8323 4.23386 2.28759 11
32.2942 187.5 40.069 406.25 abd_0.txt 17.1742 38.2294 34.6171 76.0818 3418 213 390.625 1250 2625 3421.88 61.1425 8.50289 4.39261 1.76786 6
36.8238 187.5 33.1219 375 abd_0.txt 53.3843 79.6007 33.5603 101.818 3204 200 375 1078.12 2625 3453.12 36.9951 5.91625 3.88761 1.15506 36
28.0586 125 38.8994 203.125 abd_0.txt 15.8777 203.948 243.625 284.41 2986 186 203.125 1046.88 2093.75 2937.5 76.7306 2.63126 1.30812 0.946304 7
30.0663 125 39.857 203.125 abd_0.txt 10.5817 147.106 237.273 291.195 2955 184 203.125 1046.88 2109.38 2921.88 107.204 3.26624 1.24909 0.891814 4
35.8604 125 44.3858 203.125 abd_0.txt 6.35428 194.104 184.278 240.775 3055 191 187.5 1000 2015.62 2671.88 237.078 3.28003 1.99604 1.20114 2
28.1599 125 37.9011 203.125 abd_0.txt 10.8269 154.782 153.582 240.766 3013 188 187.5 1046.88 2093.75 3031.25 94.5259 2.76769 1.62207 0.945855 5
