Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,,
chan_0103,aa,2.15,2.23,596.7424431,812.5,6.623504072,125,37.38018105,35.20339634,37.66366946,-31.04016539,937.5,17.75023524,-11.12673117,437.5,30.16032806,125,37.8906115,37.5512674,38.41826051,-8.25793245,1000,18.72799518,11.43233288,312.5,33.378839,125,35.84472619,28.08198887,35.84472619,-2.465887192,937.5,17.40776775,15.97107125,m,VN
chan_0103,aa,3.01,3.13,488.3737875,312.5,33.1798148,125,32.54777081,32.32739614,33.1798148,0,1000,9.832876422,23.34693837,312.5,27.52895748,125,32.40016801,30.410687,32.40016801,-4.871210535,1000,5.117230551,22.411726929,312.5,32.04093727,125,36.1006359,36.11449469,32.20295033,-0.162013052,937.5,10.73561988,21.3053174,m,VN
chan_0107,i,1.08,1.15,329.3781027,312.5,6.879716898,144.5501157,21.59566617,6.879716898,21.59566617,-14.71594927,1000,-8.350366085,15.23008298,375,35.96566463,145.9375601,34.57853241,33.83435249,35.96566463,0,1000,7.558873397,28.406791233,437.5,30.92825169,179.3020523,39.31561752,39.05459034,40.07577958,-9.147527895,875,18.3965709,12.53168079,m,NV
chan_0108,i,3.46,3.56,361.8973645,234.375,25.71397812,140.625,36.59870359,23.85983464,36.59870359,-10.88472548,953.125,-6.874041191,32.58801931,562.5,-5.241901376,140.625,19.01619539,5.247659534,19.01619539,-24.25809677,921.875,-10.12248568,4.880584304,2046.875,17.86897472,140.625,18.75719094,6.525242364,19.92843819,-2.059463472,1015.625,-0.890180394,18.75915511,m,NV
chan_011,i,4.43,4.48,356.9985819,531.25,30.86813329,93.75,29.36289233,31.39578339,11.05594227,19.81219102,906.25,7.999089531,22.86904376,593.75,31.96295809,93.75,28.30290335,31.04833574,15.48515929,16.4777988,968.75,13.8940031,18.06895499,687.5,25.05407206,93.75,26.67110676,25.63679793,26.67110676,-1.617034701,968.75,7.410142648,17.64392941,m,NV
chan_0110,oh,0.99,1.05,552.9827257,515.625,36.55054869,156.25,40.87924921,37.43439588,40.87924921,-4.328700514,953.125,24.31458716,12.23596154,781.25,38.55575578,156.25,40.89134589,36.90438775,40.89134589,-2.335590117,937.5,29.33299316,9.22276262,781.25,38.84658086,156.25,40.50047298,35.89703402,40.50047298,-1.653892124,953.125,32.44276527,6.403815582,m,NV
chan_0111,A,0.83,0.96,639.2523147,812.5,6.957242677,125,10.69089793,7.801633101,14.20324445,-7.246001776,953.125,6.243140126,0.714102551,671.875,2.316923621,140.625,8.95672056,0.572068289,14.95367676,-12.63675314,953.125,1.611619403,0.705304218,515.625,4.620506398,156.25,24.07910503,12.34890106,24.07910503,-19.45859864,937.5,2.729006406,1.891499991,m,NV
chan_0112,A,2.32,2.45,870.9285519,437.5,36.25877756,125,37.73649327,34.56922802,37.73649327,-1.477715712,937.5,7.780549509,28.47822805,437.5,35.79419948,125,38.63887383,35.1922966,38.63887383,-2.84467434,968.75,8.545678939,27.248520541,437.5,39.69118339,127.1102395,39.28882297,36.51317497,39.69118339,0,1000,10.23548156,29.45570183,m,VN
chan_0112,ee,2.51,2.57,418.6680247,312.5,33.68573637,156.25,36.00902508,36.05265035,10.0392786,23.64645778,1000,4.488432659,29.19730371,312.5,41.15043529,156.25,40.27113787,42.45404282,9.148128233,32.00230706,875,7.181248156,33.969187134,312.5,34.52687004,156.25,38.56783492,37.49746872,38.56783492,-4.040964882,1000,0.73104611,33.79582393,m,NV
chan_0112,aa,3.45,3.51,482.221873,312.5,27.65582854,125,40.082452,34.37358999,40.082452,-12.42662346,968.75,9.680897433,17.97493111,375,25.83727728,125,39.82522756,34.78984573,39.82522756,-13.98795028,968.75,2.447972986,23.389304294,312.5,28.47943666,125,39.76558845,35.35660962,39.76558845,-11.28615179,968.75,1.675839028,26.80359763,m,VN
chan_0112,ee,3.67,3.71,471.403239,656.25,34.8983376,109.375,32.00561803,33.9965576,3.002491057,31.89584655,984.375,22.41365919,12.48467842,640.625,31.38034064,109.375,29.81150055,32.06719107,5.394961254,25.98537939,953.125,26.21138524,5.1689554,718.75,30.1490273,109.375,26.46057817,29.72645454,1.383954218,28.76507309,921.875,20.59075248,9.558274827,m,NV
chan_0112,aa,5.21,5.28,480.79585,750,28.6389481,156.25,39.27659799,34.11758541,39.27659799,-10.63764989,906.25,30.58396135,-1.945013255,593.75,34.91719046,156.25,39.54040478,34.60568607,39.54040478,-4.623214318,906.25,30.79653108,4.12065938,562.5,33.23963124,156.25,39.6257823,35.15279067,39.6257823,-6.386151061,875,30.37586103,2.863770215,m,VN
chan_0112,oh,5.36,5.42,769.7628495,406.25,38.10599183,125,37.34604822,35.80378642,38.10599183,0,937.5,31.63216736,6.47382447,531.25,45.28973384,125,37.93306044,37.4810803,45.28973384,0,921.875,34.44477128,10.84496256,640.625,44.75035973,125,38.50127424,36.96975726,44.75035973,0,906.25,34.16413944,10.58622029,m,NV
