Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_12,oh,312.50,43.25,156.25,38.90,43.34,9.29,33.95,937.50,16.22,27.03,1.00
Bd_12,oh,640.63,2.20,171.88,3.08,5.74,12.46,-10.26,953.13,-6.51,8.72,1.00
Bd_120,ee,437.50,41.62,156.25,51.87,53.80,14.43,27.19,937.50,31.70,9.92,1.00
Bd_121,i,531.25,52.02,125.00,47.77,48.81,17.86,34.16,890.63,36.43,15.59,1.00
Bd_121,A,1437.50,-0.83,136.73,7.10,2.96,11.04,-11.87,937.50,-6.20,5.38,1.00
Bd_122,i,1312.50,10.13,218.75,30.52,23.14,30.52,-20.39,1000.00,4.01,6.12,1.00
Bd_122,A,281.25,40.78,93.75,43.32,48.57,13.27,27.51,953.13,12.88,27.90,1.00
Bd_123,ee,320.31,56.96,156.25,52.85,56.96,5.13,51.83,960.94,33.14,23.82,1.00
Bd_125,A,406.25,44.00,156.25,42.40,44.17,10.08,33.92,968.75,33.36,10.64,1.00
Bd_125,ee,375.00,40.49,125.00,43.00,49.26,37.17,3.32,968.75,23.58,16.90,1.00
Bd_126,ee,375.00,46.13,125.00,44.39,45.84,39.96,6.17,937.50,16.46,29.67,1.00
Bd_126,A,281.25,46.93,156.25,50.60,46.93,50.60,-3.67,906.25,20.98,25.96,1.00
Bd_126,A,468.75,45.36,156.25,52.41,51.62,52.41,-7.06,968.75,32.30,13.06,1.00
Bd_126,i,343.75,35.36,156.25,44.28,35.36,44.37,-9.01,875.00,11.14,24.23,1.00
Bd_129,ee,406.25,29.69,93.75,42.75,42.28,42.75,-13.06,906.25,20.08,9.61,1.00
Bd_13,E,296.88,40.00,156.25,41.58,41.25,41.58,-1.58,906.25,18.16,21.84,1.00
Bd_13,ee,375.00,38.34,93.75,42.22,41.39,42.22,-3.88,968.75,20.92,17.42,1.00
Bd_131,ee,750.00,20.46,154.80,37.39,33.42,38.42,-17.96,968.75,14.35,6.10,1.00
Bd_131,A,468.75,45.45,156.25,51.32,52.51,19.89,25.55,1000.00,31.65,13.80,1.00
Bd_133,ee,515.63,58.27,125.00,49.80,51.66,20.59,37.68,984.38,28.95,29.32,1.00
Bd_134,A,296.88,28.86,171.88,50.82,45.35,50.82,-21.96,875.00,14.97,13.89,1.00
Bd_134,oh,406.25,53.97,125.00,55.12,51.63,55.12,-1.15,937.50,22.86,31.11,1.00
Bd_134,oh,437.50,53.74,156.25,49.52,51.68,14.70,39.04,875.00,29.41,24.34,1.00
Bd_134,E,609.38,17.83,156.25,29.98,21.18,29.98,-12.15,953.13,4.79,13.04,1.00
Bd_135,ee,406.25,41.18,156.25,51.93,52.16,21.18,20.00,1000.00,31.62,9.56,1.00
Bd_135,i,781.25,9.79,116.77,40.97,35.66,42.81,-33.02,968.75,8.89,0.90,1.00
Bd_136,A,343.75,54.94,187.50,50.54,54.94,17.11,37.83,875.00,24.19,30.75,1.00
Bd_137,i,343.75,24.57,187.50,35.97,24.57,35.97,-11.40,906.25,11.94,12.63,1.00
Bd_137,i,218.75,21.02,125.00,39.37,32.21,39.37,-18.36,1000.00,-1.56,22.58,1.00
Bd_137,ee,203.13,35.05,109.38,41.50,35.05,41.50,-6.45,906.25,2.79,32.26,1.00
