Bd_00,A,0.02,0.05,530.339404,687.5,7.260884342,156.25,45.22906324,38.35995554,45.22906324,-37.9681789,1000,1.271965714,5.988918629,2234.375,20.74171423,156.25,24.8341625,15.26578325,24.92133974,-4.179625511,953.125,0.996465005,19.74524923,312.5,51.5854765,156.25,50.73940755,51.5854765,20.22301364,31.36246285,1000,-0.316429415,51.90190591,m,VN
Bd_00,i,1.07,1.15,309.1763059,281.25,37.67019073,125,38.02951045,38.63163817,28.81146455,8.858726183,906.25,9.177008878,28.49318185,312.5,18.81453089,125,14.99378629,25.99838336,12.59229881,6.222232076,937.5,-2.360986031,21.17551692,593.75,40.85655146,126.9561225,43.97462879,47.55788373,18.79603168,22.06051978,1000,37.29704008,3.559511379,m,NV
Bd_00,A,3.53,3.6,507.7978691,406.25,35.31548255,156.25,44.97510603,49.07763265,16.34383536,18.97164719,906.25,19.92967307,15.38580949,312.5,50.82903764,156.25,44.88323242,50.82903764,12.73313877,38.09589887,906.25,12.0507513,38.77828634,593.75,51.18456659,156.25,44.0092469,46.51344297,1.338905763,49.84566082,906.25,30.77170866,20.41285793,m,NV
Bd_00,A,3.66,3.72,513.195687,281.25,44.33816346,140.625,39.2328696,44.33816346,6.898183799,37.43997966,953.125,10.87438757,33.46377589,281.25,33.5228634,125,34.48106763,35.79670813,11.92770506,21.59515833,937.5,6.831268822,26.69159457,312.5,50.71441324,156.25,43.52120209,50.71441324,20.45669941,30.25771383,906.25,15.53339585,35.1810174,n,VN
Bd_00,i,3.8,3.86,326.1916273,250,37.02837895,109.375,31.88852811,39.23573486,18.17910643,18.84927252,1000,13.29709828,23.73128067,234.375,37.60575549,109.375,32.36420426,38.52878137,12.71379413,24.89196135,1000,8.495626986,29.1101285,375,38.20500089,125,43.38619292,47.68029214,38.04416043,0.160840454,1000,28.73448622,9.470514667,n,NV
Bd_00,oh,4.86,4.91,410.0351832,968.75,14.25149688,140.625,20.64709872,24.17514914,8.650050722,5.601446156,968.75,14.25149688,0,906.25,33.5025762,125,18.89495365,26.09689046,19.29983563,14.20274057,906.25,33.5025762,0,406.25,38.20241827,125,43.62105413,49.41596601,18.24788062,19.95453765,937.5,38.1697358,0.032682472,n,VN
Bd_00,oh,4.97,5.04,415.3225993,437.5,48.56050164,108.7287985,37.20381285,40.02187112,38.24366059,10.31684106,937.5,28.57123248,19.98926916,437.5,46.95286493,108.8866681,40.9802379,44.78499508,36.07285615,10.88000878,937.5,23.58876433,23.3641006,312.5,36.15770925,104.2536035,28.43949552,42.3056761,37.06924358,-0.911534334,1000,-2.255867491,38.41357674,n,NV
Bd_00,i,6,6.04,417.2895469,562.5,25.97532941,93.75,37.72111761,38.09561774,24.03897975,1.936349661,906.25,16.67258045,9.30274896,562.5,25.97532941,93.75,37.72111761,38.09561774,24.03897975,1.936349661,906.25,16.67258045,9.30274896,562.5,25.97532941,93.75,37.72111761,38.09561774,24.03897975,1.936349661,906.25,16.67258045,9.30274896,n,VN
Bd_00,A,6.11,6.19,462.6823738,562.5,25.97532941,93.75,37.72111761,38.09561774,24.03897975,1.936349661,906.25,16.67258045,9.30274896,562.5,25.97532941,93.75,37.72111761,38.09561774,24.03897975,1.936349661,906.25,16.67258045,9.30274896,437.5,35.75231509,156.25,45.2278254,51.05248715,23.16863279,12.5836823,906.25,33.35549852,2.396816571,n,NV
Bd_02,oh,2.29,2.35,400.1462146,1421.875,0.187846692,156.25,39.46257089,36.06019596,39.46257089,-39.2747242,875,3.270207195,-3.082360503,2000,-0.619144412,140.625,38.88111926,31.00907761,38.88111926,-39.50026367,984.375,5.82609552,-6.445239932,281.25,51.93845561,140.625,42.35378578,51.93845561,2.056257525,49.88219808,984.375,10.53890419,41.39955142,m,NV
Bd_02,i,2.41,2.51,299.2847813,375,28.56534628,93.75,32.80308261,32.5641223,33.41881306,-4.85346678,906.25,8.994936251,19.57041002,312.5,28.54649426,100.389726,28.895022,33.33348843,21.20821623,7.338278029,937.5,7.114070942,21.43242332,312.5,45.67964376,153.4761977,46.105022,51.03891225,15.83550271,29.84414105,875,18.81379644,26.86584732,n,NV
Bd_02,ee,2.85,2.94,412.7132818,281.25,43.71977291,156.25,40.62575461,43.71977291,8.301673588,35.41809932,906.25,9.272797168,34.44697574,281.25,28.14678869,156.25,34.75759213,28.14678869,34.75759213,-6.610803441,875,2.614779167,25.53200952,468.75,34.07055362,93.75,42.09479986,46.2297354,20.44319904,13.62735458,906.25,12.1107703,21.95978332,n,NV
Bd_03,ee,2.79,2.87,385.7539697,281.25,36.35863636,93.75,34.22878898,38.36234978,8.652138799,27.70649756,984.375,2.798720556,33.5599158,281.25,36.35863636,93.75,34.22878898,38.36234978,8.652138799,27.70649756,984.375,2.798720556,33.5599158,281.25,36.35863636,93.75,34.22878898,38.36234978,8.652138799,27.70649756,984.375,2.798720556,33.5599158,n,VN
Bd_04,A,0.02,0.05,504.8991238,312.5,31.24305021,127.4450022,33.14878063,34.99616988,17.56333815,13.67971205,906.25,9.668608846,21.57444136,1281.25,11.55725598,156.25,-9.730844477,22.87521009,11.27265829,0.284597689,968.75,8.869339667,2.687916309,562.5,47.00540283,140.625,50.59449526,51.83818722,2.804300949,44.20110188,976.5625,42.34712243,4.6582804,m,VN
