Bd_00,A,281.25,44.33816346,140.625,39.2328696,44.33816346,6.898183799,37.43997966,953.125,10.87438757,33.46377589,1,VN
Bd_00,i,250,37.02837895,109.375,31.88852811,39.23573486,18.17910643,18.84927252,1000,13.29709828,23.73128067,1,NV
Bd_00,oh,968.75,14.25149688,140.625,20.64709872,24.17514914,8.650050722,5.601446156,968.75,14.25149688,0,1,VN
Bd_00,oh,437.5,48.56050164,108.7287985,37.20381285,40.02187112,38.24366059,10.31684106,937.5,28.57123248,19.98926916,1,NV
Bd_00,i,562.5,25.97532941,93.75,37.72111761,38.09561774,24.03897975,1.936349661,906.25,16.67258045,9.30274896,1,VN
Bd_00,A,562.5,25.97532941,93.75,37.72111761,38.09561774,24.03897975,1.936349661,906.25,16.67258045,9.30274896,1,NV
Bd_02,i,375,28.56534628,93.75,32.80308261,32.5641223,33.41881306,-4.85346678,906.25,8.994936251,19.57041002,1,NV
Bd_02,ee,281.25,43.71977291,156.25,40.62575461,43.71977291,8.301673588,35.41809932,906.25,9.272797168,34.44697574,1,NV
Bd_03,ee,281.25,36.35863636,93.75,34.22878898,38.36234978,8.652138799,27.70649756,984.375,2.798720556,33.5599158,1,VN
Bd_05,aa,375,50.95804662,187.5,44.69423483,52.26366607,14.58635691,36.37168971,875,38.57118751,12.38685911,1,NV
Bd_05,ee,343.75,45.0157318,125,48.5044658,52.97898228,15.11674997,29.89898183,921.875,14.28598335,30.72974845,1,VN
Bd_05,ee,625,36.08376676,125,37.84765472,28.94626667,40.09429662,-4.010529864,937.5,23.25108573,12.83268103,1,NV
Bd_05,i,343.75,45.99802753,98.50389241,42.47592742,46.54067984,20.69315353,25.30487399,968.75,7.759395604,38.23863192,1,NV
Bd_06,oh,312.5,44.89200395,134.9916502,42.562722,44.89200395,34.00594522,10.88605873,937.5,13.14269811,31.74930584,1,VN
Bd_06,A,312.5,29.03628435,156.25,31.87976543,29.03628435,31.87976543,-2.843481074,906.25,2.593134977,26.44314937,1,NV
Bd_06,ee,312.5,35.2541747,160.0842674,35.63437144,35.2541747,36.02403624,-0.769861543,875,16.00374407,19.25043063,1,VN
Bd_06,oh,375,47.4421651,125,49.10706016,44.81976783,49.10706016,-1.664895064,1000,31.48403644,15.95812866,1,VN
Bd_06,A,968.75,-3.660978976,125.7387053,16.17681956,12.78775425,17.45199996,-21.11297894,968.75,-3.660978976,0,1,VN
Bd_06,ee,625,49.47993045,125,44.54869889,44.67608537,39.01771526,10.46221519,1000,31.84817693,17.63175352,1,NV
Bd_06,oh,281.25,40.81272724,125,45.2569267,49.74335336,35.92391406,4.88881318,937.5,27.83837674,12.97435049,1,NV
Bd_06,A,343.75,36.41607578,125,45.47779838,42.03644711,45.47779838,-9.061722597,890.625,4.593817773,31.82225801,1,VN
Bd_06,i,375,41.49462632,158.7375652,48.3137082,43.26249391,48.3137082,-6.819081877,875,19.91645553,21.57817079,1,NV
Bd_06,oh,281.25,47.74662294,125,43.11331078,47.74662294,22.38378017,25.36284278,937.5,13.65282476,34.09379818,1,VN
Bd_06,oh,343.75,40.87953344,125,42.64327228,46.79921963,20.10893289,20.77060055,937.5,22.67108913,18.20844431,1,NV
Bd_06,A,406.25,37.25259511,125,39.12115295,36.80169402,41.99615899,-4.743563889,1000,11.96149173,25.29110338,1,VN
Bd_06,ee,277.34375,40.9904699,117.1875,30.93253984,40.92764655,12.72696653,28.26350338,981.4453125,5.343726868,35.64674304,1,VN
Bd_06,i,277.34375,40.9904699,117.1875,30.93253984,40.92764655,12.72696653,28.26350338,981.4453125,5.343726868,35.64674304,1,NV
Bd_07,A,375,46.80365949,187.5,46.79946062,46.80365949,17.55995986,29.24369962,937.5,12.9219612,33.88169829,1,VN
Bd_07,i,500,49.0849661,156.25,47.12393603,45.56169944,49.0849661,0,906.25,37.70950019,11.37546591,1,NV
Bd_07,i,359.375,42.37466925,93.75,38.09471835,38.67937247,16.42334081,25.95132844,906.25,8.746440249,33.628229,1,VN
Bd_08,ee,687.5,44.96471401,125,42.28011632,42.74371204,37.94326639,7.021447614,937.5,36.83239944,8.132314569,1,NV
Bd_08,A,484.375,44.36216005,125,47.79519245,50.67290268,7.552635537,36.80952451,890.625,29.531881,14.83027905,1,NV
Bd_09,i,312.5,27.43681664,88.62996043,24.15317909,26.5225271,14.7733624,12.66345424,937.5,-2.458657439,29.89547408,1,VN
Bd_09,i,437.5,47.58051129,151.3569994,43.12991354,46.67260621,37.93389759,9.646613692,875,19.03457772,28.54593356,1,VN
Bd_09,ee,250,37.25571014,125,34.73807991,37.25571014,20.94702451,16.30868563,906.25,-3.133930401,40.38964054,1,NV
Bd_09,E,625,30.28924968,156.25,52.67846332,47.30809207,52.67846332,-22.38921364,875,25.44411923,4.845130448,1,VN
Bd_09,oh,468.75,29.1269814,125.220956,39.02452512,31.19802585,39.02452512,-9.897543719,1000,13.7083147,15.4186667,1,NV
Bd_09,A,281.25,40.9656788,156.25,42.46164579,42.19483341,42.46164579,-1.495966999,968.75,1.240289054,39.72538974,1,VN
Bd_09,i,281.25,40.33093571,125,41.27571665,41.35475442,30.9965384,9.334397313,906.25,6.120528667,34.21040704,1,NV
Bd_09,ee,609.375,50.56839144,125,44.11082552,42.68709589,50.56839144,0,921.875,32.17918672,18.38920472,1,VN
Bd_09,ee,312.5,36.5568342,102.5644325,39.84500588,40.20050362,37.02950227,-0.472668072,937.5,21.56225605,14.99457814,1,VN
Bd_09,A,312.5,36.5568342,102.5644325,39.84500588,40.20050362,37.02950227,-0.472668072,937.5,21.56225605,14.99457814,1,NV
