Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1
deb_00,i,1.31,1.45,344.9841428,406.25,53.78708602,125.6794833,50.50908526,50.92197226,21.102141,32.68494502,968.75,32.07442737,21.71265865,437.5,56.62433822,156.25,50.7510463,52.85532119,22.70486209,33.91947613,1000,36.68601012,19.9383281,437.5,55.85417547,155.9428681,50.67873341,52.91516356,19.14660451,36.70757096,1000,39.51183354,16.34234193
deb_00,rr,1.45,1.54,229.5837714,312.5,27.30910888,125,39.5872213,33.42799502,39.5872213,-12.27811242,937.5,19.36933905,7.939769834,187.5,30.04599963,125,34.53601082,24.90617613,34.53601082,-4.490011194,937.5,7.410380667,22.63561896,218.75,30.67164124,127.5924879,37.09907725,29.87650369,37.09907725,-6.427436002,968.75,13.31748501,17.35415623
deb_00,oh,1.54,1.63,395.9767191,281.25,43.4493675,156.25,47.03781974,43.64213272,47.03781974,-3.588452247,906.25,12.74945499,30.69991251,312.5,45.86904889,156.25,48.98113667,46.04218661,48.98113667,-3.112087785,937.5,8.294922918,37.57412597,281.25,37.83303742,156.25,47.30106944,39.53889329,47.30106944,-9.46803202,937.5,6.57379433,31.25924309
deb_00,b,1.63,1.68,322.6448592,218.75,30.43145445,156.25,49.07027313,37.22253998,49.07027313,-18.63881868,968.75,0.153258962,30.27819549,187.5,45.60963724,156.25,48.75051252,35.65549038,48.75051252,-3.140875279,968.75,-4.152296485,49.76193372,187.5,45.18551757,156.25,48.42280301,35.15105279,48.42280301,-3.237285441,968.75,-2.787135754,47.972653324
deb_00,i,1.68,1.74,273.6349908,187.5,42.9832952,156.25,44.87630487,31.99876013,44.87630487,-1.893009671,968.75,-8.021841553,51.00513675,187.5,40.16814252,156.25,42.8276279,28.16059019,42.8276279,-2.659485384,937.5,-9.28186173,49.45000425,1687.5,17.56089892,156.25,36.13469626,22.26105354,36.13469626,-18.57379734,1000,8.735395943,8.825502977
deb_00,n,1.74,1.82,214.0390551,1250,17.9023246,143.7819157,29.85265559,17.35334067,29.85265559,-11.95033099,1000,12.47075611,5.431568495,312.5,36.57422268,179.5829096,41.90319735,36.57422268,41.90319735,-5.328974672,1000,19.53405699,17.04016569,375,41.48716485,149.4428711,43.66831092,39.12634013,43.66831092,-2.181146071,1000,13.49072079,27.99644406
deb_00,dd,1.82,1.88,200.3114713,375,44.47567405,156.25,50.0234092,48.11633567,50.0234092,-5.547735153,875,32.24058353,12.23509051,406.25,35.44105233,187.5,50.47279145,46.96270428,50.47279145,-15.03173912,875,37.53042753,-2.089375192,406.25,35.63586669,187.5,50.42323799,44.53644636,50.42323799,-14.78737129,875,37.69147908,-2.05561239
deb_00,rr,1.88,1.91,1151.790385,1218.75,34.31271657,187.5,44.66150053,36.06517142,44.70020075,-10.38748418,1031.25,28.91650197,5.396214603,1250,25.29939691,187.5,44.37446784,32.84275203,44.37446784,-19.07507093,875,16.30913647,8.990260444,1218.75,24.20101245,187.5,44.25514215,33.17990214,44.25514215,-20.0541297,875,13.97066746,10.23034499
deb_00,oh,1.91,1.98,398.904205,578.125,41.37528462,171.875,50.25001733,43.52729277,50.25001733,-8.87473271,890.625,39.92093775,1.454346864,687.5,46.81283749,171.875,50.05006835,43.403163,50.05006835,-3.237230861,875,42.40004118,4.412796312,656.25,43.59286497,171.875,49.32932554,42.48574318,49.32932554,-5.736460576,984.375,36.15791223,7.43495274
deb_00,n,1.98,2.03,1168.566342,1218.75,12.04718398,156.25,33.1086141,19.3229774,33.2272643,-21.18008032,875,6.662316494,5.384867489,812.5,2.043655883,156.25,15.42487893,4.378127766,15.42487893,-13.38122305,875,12.59669398,-10.5530381,656.25,4.617844655,156.25,15.4114668,2.749932715,15.4114668,-10.79362214,1000,-0.02830728,4.646151935
deb_00,A,2.03,2.13,632.9256889,468.75,48.67920605,153.5181579,47.88344344,44.97992439,48.67920605,0,937.5,28.85567837,19.82352768,406.25,51.56460667,125,43.58785025,46.550116,13.32937824,38.23522843,968.75,35.1449471,16.41965957,437.5,48.54623878,156.25,41.85792619,45.13436731,8.240467554,40.30577123,968.75,34.50014224,14.04609654
deb_00,T,2.13,2.21,1353.463926,421.875,20.71072726,140.625,16.16102761,4.651411906,20.71072726,0,882.8125,2.409997226,18.30073003,468.75,11.37352272,140.625,11.82373311,2.906086775,13.00818339,-1.634660671,984.375,0.190606301,11.18291642,546.875,-2.168948449,132.8125,3.607745295,-2.960898435,4.454467746,-6.623416195,937.5,-15.36847487,13.199526421
deb_00,oh,2.21,2.29,443.0234226,437.5,15.64807299,125,9.943187073,10.44973736,8.216644836,7.431428158,937.5,-10.64277753,26.29085052,375,12.24463133,125,23.6794666,18.20438765,23.6794666,-11.43483528,1000,-2.829124931,15.07375626,375,39.61646975,125,40.65588165,45.52665543,35.58129114,4.035178617,937.5,17.28215159,22.33431816
deb_00,k,2.29,2.52,447.7851087,375,48.10159905,125,40.18852053,45.57286532,37.46473054,10.63686851,1000,12.78383338,35.31776568,375,43.85130803,125,41.50948127,42.85746127,39.76044759,4.090860441,1000,8.453333222,35.39797481,375,41.34632783,125,45.60672336,45.5702568,47.19180611,-5.845478286,937.5,13.90996851,27.43635932
deb_00,ee,2.52,2.55,453.9347463,515.625,12.84746639,125,43.32503828,32.71282954,43.32503828,-30.47757189,1000,10.73706753,2.110398856,1906.25,41.88865388,156.25,24.12963702,16.59652531,41.88865388,0,1015.625,12.17922171,29.70943217,1546.875,29.4724683,171.875,16.42981097,17.00930992,18.50126104,10.97120726,875,12.32088008,17.15158822
deb_00,ee,2.55,2.58,368.5612482,406.25,28.41219465,187.5,35.397303,29.95050293,35.397303,-6.985108342,875,16.64978205,11.7624126,500,43.14156702,156.25,46.06925479,42.90580644,46.06925479,-2.927687772,937.5,33.08836862,10.0531984,593.75,42.56511336,156.25,45.28770687,41.69020861,45.28770687,-2.722593504,875,38.47198831,4.09312505
deb_00,sh,2.58,2.68,566.0743504,531.25,37.69071579,156.25,47.85710741,43.01469314,47.85710741,-10.16639161,875,38.40933989,-0.718624094,437.5,42.18042242,156.25,48.36814986,43.36564063,48.36814986,-6.187727436,875,39.09811252,3.082309905,437.5,45.4890246,156.25,48.191424,44.87122669,48.191424,-2.702399396,906.25,41.08178639,4.40723821
deb_00,aa,2.68,2.73,451.3399036,468.75,47.92690552,156.25,45.19738883,44.63816288,47.92690552,0,937.5,40.93228407,6.994621448,468.75,49.78414989,156.25,45.01462526,44.88537013,49.78414989,0,968.75,41.14787342,8.63627647,468.75,50.79165626,156.25,45.09249236,45.6003414,13.76556717,37.0260891,968.75,37.35168609,13.43997017
deb_00,h,2.73,2.8,488.1930593,500,51.08296743,174.8848975,45.62316263,46.36769048,35.08765341,15.99531402,875,32.8736338,18.20933363,437.5,36.76641727,173.4967071,41.51813328,34.24652606,41.51813328,-4.751716007,1000,21.6211889,15.14522837,375,39.26564234,176.0928002,41.03307731,39.35435614,41.03307731,-1.767434976,937.5,11.67913686,27.58650548
deb_00,oh,2.8,2.85,454.8197487,468.75,42.90699298,156.25,45.58627376,46.08412685,13.59988691,29.30710607,968.75,24.74343445,18.16355853,500,46.43249351,156.25,45.7495445,46.13612558,12.12679412,34.30569939,968.75,24.12061738,22.31187613,468.75,45.26543932,156.25,45.58761708,45.38439005,45.58761708,-0.322177758,875,21.5338522,23.73158712
deb_00,rr,2.85,2.89,463.2190334,281.25,39.05230637,140.625,47.34609956,39.05230637,47.34609956,-8.293793194,890.625,16.29421242,22.75809395,218.75,12.08866461,140.625,46.65031196,39.2705326,46.65031196,-34.56164735,921.875,11.50468935,0.583975265,1562.5,14.40618441,125,45.46666952,40.2558063,45.46666952,-31.06048511,906.25,14.21411709,0.19206732
deb_00,ee,2.89,2.94,435.2696842,687.5,36.89126642,125,42.006445,37.56663375,42.006445,-5.115178581,906.25,19.63151264,17.25975377,812.5,34.24192681,125,42.65726396,37.85634489,42.65726396,-8.415337144,968.75,27.45179866,6.790128153,531.25,29.25236204,125,43.15845017,37.63979007,43.15845017,-13.90608813,937.5,25.73680289,3.51555915
deb_00,m,2.94,3.08,258.9912443,250,37.02645178,125,43.45978852,37.02645178,43.45978852,-6.433336738,968.75,9.355487004,27.67096477,250,34.02627228,125,43.22096525,36.04003521,43.22096525,-9.194692968,968.75,-2.023384529,36.04965681,250,32.82057577,125,42.70186349,34.64951613,42.70186349,-9.881287721,906.25,-1.631221573,34.451797343
deb_00,aa,3.08,3.13,661.1264481,421.875,13.07441123,140.625,39.574829,24.08791793,39.574829,-26.50041777,953.125,-7.158326295,20.23273753,1203.125,4.589682056,156.25,17.89287186,11.483221,20.87782895,-16.28814689,1015.625,4.647345973,-0.057663918,1828.125,15.72275947,171.875,13.17284787,12.50012984,25.21887696,-9.496117488,921.875,5.346125283,10.376634187
deb_00,n,3.13,3.19,265.0431315,375,44.54224439,187.5,43.44017383,44.54224439,38.2618891,6.280355285,937.5,22.81248788,21.7297565,437.5,41.80038628,179.9552927,44.18161766,44.28458341,37.71223933,4.088146953,875,27.42403382,14.37635247,437.5,36.41841024,145.3234701,41.99510105,41.17288724,41.99510105,-5.576690809,937.5,18.94078631,17.47762393
deb_00,ch,3.19,3.29,461.702824,343.75,33.69142375,156.25,48.61710198,39.95106166,48.61710198,-14.92567824,937.5,18.30986086,15.38156288,1031.25,5.799862077,156.25,24.10467351,11.37301872,30.06841249,-24.26855041,937.5,7.347290261,-1.547428184,906.25,9.114705139,156.25,19.38898425,11.66806994,24.15116036,-15.03645522,906.25,9.114705139,0
