Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1
abd_1,i,1.24,1.3,308.4465025,343.75,40.05008661,187.5,52.85896694,46.45167345,52.85896694,-12.80888033,1000,15.81368149,24.23640512,187.5,42.26835309,186.7693893,42.26835309,17.92239724,42.26835309,0,1000,-2.689784367,44.95813746,187.5,42.1327138,187.5,42.1327138,25.3230113,42.1327138,0,875,-0.269467291,42.40218109
abd_1,D,1.3,1.34,222.1114843,218.75,30.25090006,187.5,34.63359707,19.06589809,34.63359707,-4.382697009,875,-4.131828637,34.3827287,343.75,14.95551418,218.75,54.8689116,47.9039879,54.8689116,-39.91339742,843.75,24.38007796,-9.424563787,281.25,35.24246859,218.75,47.98280661,36.97379346,47.98280661,-12.74033801,843.75,15.06680854,20.17566005
abd_1,i,1.34,1.43,322.2333018,406.25,44.29379165,218.75,46.13509305,44.29379165,47.15055592,-2.856764272,906.25,21.41179212,22.88199953,218.75,27.209514,218.75,27.209514,4.961185518,27.209514,0,843.75,-9.745632801,36.9551468,531.25,5.90044715,218.75,18.3604709,8.829818762,18.3604709,-12.46002375,1000,-2.154463177,8.054910326
abd_1,tt,1.43,1.5,219.4591996,359.375,31.70363733,187.5,41.80325542,33.46234752,41.80325542,-10.09961809,859.375,12.54800106,19.15563627,437.5,62.74487825,218.75,50.13819556,62.74487825,-11.36480106,74.1096793,843.75,30.97171513,31.77316312,437.5,60.8748404,218.75,51.2033748,60.8748404,3.408472736,57.46636766,843.75,35.98681329,24.88802711
abd_1,ee,1.5,1.58,393.2360375,250,40.09637771,218.75,41.07571129,24.9769898,41.07571129,-0.979333578,906.25,2.943485482,37.15289223,640.625,2.422422012,218.75,12.98546211,18.50747621,10.68967765,-8.267255637,875,5.620359156,-3.197937143,468.75,11.77252603,234.375,11.95083654,24.93190212,20.35649499,-8.583968963,1031.25,5.258385282,6.514140744
abd_1,s,1.58,1.7,336.5653221,312.5,32.5797683,187.5,48.04971166,40.07435467,48.04971166,-15.46994336,1000,7.761222504,24.81854579,343.75,43.59902048,187.5,47.67624592,45.30988001,47.67624592,-4.077225442,968.75,6.756378306,36.84264217,375,46.38968037,187.5,46.67281003,46.38968037,46.67281003,-0.283129652,906.25,20.48055988,25.9091205
abd_1,i,1.7,1.75,261.2483356,375,39.12330422,187.5,46.4643972,39.12330422,46.4643972,-7.341092984,875,20.62193987,18.50136435,312.5,39.94624301,187.5,47.54424191,40.56536513,47.54424191,-7.597998895,875,12.92265823,27.02358478,312.5,36.38699913,187.5,47.92979491,40.96118288,47.92979491,-11.54279578,937.5,15.67853885,20.70846028
abd_1,n,1.75,1.79,296.2696742,593.75,44.28916974,187.5,49.42052678,44.76334353,49.42052678,-5.131357038,1000,30.82259303,13.46657671,437.5,40.18371074,187.5,45.86121212,42.02510689,45.86121212,-5.677501379,875,19.38668942,20.79702132,437.5,40.07004157,187.5,46.12748089,40.6630478,46.12748089,-6.057439324,875,25.12225441,14.94778716
abd_1,ee,1.79,1.82,391.8719635,843.75,45.9901897,203.125,48.00256741,45.09500896,49.01428666,-3.024096961,859.375,45.1471282,0.843061494,656.25,37.08894014,218.75,47.80300631,44.17013635,47.80300631,-10.71406617,843.75,37.16322361,-0.074283468,812.5,36.66825685,218.75,48.08786882,41.39387201,48.08786882,-11.41961197,1000,34.84478392,1.823472931
abd_1,m,1.82,1.89,571.4460424,312.5,30.1214871,187.5,42.11682241,25.09463818,42.11682241,-11.99533532,875,18.25840147,11.86308563,843.75,49.10385985,218.75,47.21114267,44.13402601,51.72086821,-2.61700836,843.75,49.10385985,0,625,55.80216404,218.75,47.18977558,49.80735767,-6.487863486,62.29002752,843.75,43.8674819,11.93468214
abd_1,A,1.89,1.99,767.2835552,437.5,57.41560222,218.75,47.85629688,57.41560222,-16.28791649,73.70351871,843.75,35.47013566,21.94546655,250,37.575544,187.5,41.28265911,28.54693208,41.28265911,-3.707115111,875,16.55633474,21.01920926,255.5197751,37.525137,187.5,40.93296953,27.21523684,40.93296953,-3.407832531,875,13.75333939,23.77179761
abd_1,dd,1.99,2.03,319.502051,437.5,27.63543921,218.75,26.19040645,27.63543921,13.04899943,14.58643978,1031.25,8.114854781,19.52058443,437.5,59.64398967,218.75,48.86345745,59.64398967,8.180606045,51.46338363,906.25,36.84987521,22.79411446,468.75,55.64183624,250,51.70002856,55.64183624,10.8595284,44.78230784,937.5,22.22634998,33.41548626
abd_1,ee,2.03,2.11,450.4300801,484.375,8.597969924,218.75,16.16446027,8.597969924,16.36608334,-7.768113415,843.75,1.232366134,7.36560379,468.75,23.7343349,218.75,17.0790067,24.07294727,13.28461876,10.44971614,1031.25,3.11389603,20.62043887,625,6.680550048,218.75,14.77402441,15.491152,9.340165897,-2.659615849,875,3.52010624,3.160443808
abd_1,kh,2.11,2.18,479.2118776,406.25,42.03340955,250,53.64477722,46.84430409,53.64477722,-11.61136767,843.75,24.99327308,17.04013647,1015.625,7.694890738,218.75,10.25190873,13.15073059,15.5524681,-7.857577366,1031.25,8.06809871,-0.373207972,734.375,16.43277682,218.75,24.83319964,24.52665048,39.03411792,-22.6013411,1046.875,12.89477052,3.538006301
