Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,,
chan_0115,oh,2.78,2.82,359.5895078,593.75,28.02310657,156.25,39.47586366,35.46284127,39.47586366,-11.45275709,906.25,26.60885004,1.414256528,468.75,39.22922094,156.25,40.28934499,35.9966236,40.28934499,-1.060124049,906.25,28.43345778,10.79576316,437.5,39.01811507,156.25,40.10288024,35.98866504,40.10288024,-1.084765171,906.25,19.63095492,19.38716014,m,VN
chan_0115,i,3.16,3.32,313.1496534,312.5,27.3314581,125,38.31614974,34.06569058,38.31614974,-10.98469164,1000,3.086206826,24.24525127,375,41.07799231,125,40.31756417,38.38832834,41.2242356,-0.146243291,906.25,6.435433205,34.642559105,406.25,43.02508045,125,41.38869804,39.54280952,43.02508045,0,937.5,6.915956976,36.10912347,m,VN
chan_0115,i,6.09,6.2,506.898285,468.75,0.903870789,140.625,5.329517865,10.8265042,4.000167808,-3.096297018,1000,-8.838848435,9.742719224,671.875,26.88412201,140.625,29.36195095,20.79536546,29.36195095,-2.477828937,953.125,14.90122296,11.98289905,640.625,23.45727483,125,38.10652481,31.3880184,38.10652481,-14.64924997,921.875,15.59754023,7.859734602,m,VN
chan_0116,i,2.42,2.52,290.6828065,468.75,39.98869315,156.25,41.96254949,37.93764586,41.96254949,-1.973856337,906.25,22.9921948,16.99649835,734.375,40.0999472,156.25,41.46113838,38.67270865,42.2017507,-2.101803505,906.25,25.54804352,14.55190368,750,41.80201506,156.25,42.36626817,37.96408881,42.42473389,-0.622718829,921.875,26.24564928,15.55636578,m,VN
chan_0116,aa,5.75,5.86,772.7806469,406.25,40.01828591,125,38.97718636,37.88731612,40.01828591,0,937.5,-2.497550468,42.51583638,406.25,39.46581511,153.0798461,38.89963898,38.71085641,39.46581511,0,875,10.00935108,29.45646403,375,34.31684334,125,38.37459164,37.71040934,38.39098175,-4.074138409,968.75,-0.556743707,34.87358705,m,VN
chan_0116,oh,7.23,7.29,426.5190523,531.25,27.17804639,125,36.63168021,34.87991375,36.63168021,-9.453633813,906.25,11.20643558,15.97161081,406.25,34.86767711,125,36.53546343,35.37722028,36.53546343,-1.667786317,906.25,10.15370271,24.7139744,375,33.20377932,125,34.83806292,32.98510025,34.83806292,-1.634283606,906.25,11.41867526,21.78510406,m,VN
chan_0119,aa,3.11,3.2,491.1503224,500,11.86106411,140.625,11.30248254,11.30868042,8.013337412,3.847726701,890.625,6.852902462,5.008161652,375,38.00179943,125,37.25360566,34.60942668,38.00179943,0,890.625,23.42196225,14.57983718,359.375,39.33653136,125,39.10443526,37.1916866,39.33653136,0,968.75,17.66409021,21.67244115,m,VN
chan_0119,A,4.58,4.67,643.06859,625,-21.55721405,125,0.014715507,-5.123162721,0.014715507,-21.57192956,1000,-19.28564004,-2.271574009,750,-6.424756548,125,3.091626814,-7.426788432,6.427850523,-12.85260707,1000,-18.84762658,12.422870032,1000,-17.21293847,125,-2.34278177,-9.789974986,-2.34278177,-14.8701567,1000,-17.21293847,0,m,VN
chan_0120,ee,11.76,11.92,392.628719,593.75,34.25683721,125,36.90147105,32.41684754,36.90147105,-2.644633835,937.5,26.95061531,7.306221896,593.75,34.41947815,125,38.50470676,33.76808881,38.50470676,-4.08522861,968.75,36.64440185,-2.2249237,625,35.76502406,125,40.53781119,36.51012708,40.53781119,-4.772787127,968.75,26.549727,9.215297056,m,VN
chan_0122,aa,1.34,1.39,508.3161787,781.25,34.81723663,156.25,38.22484869,34.03795069,38.22484869,-3.40761206,937.5,27.0470893,7.770147331,656.25,27.86994553,156.25,38.25276864,34.45582555,38.25276864,-10.38282311,937.5,32.31989816,-4.44995263,468.75,37.28413016,156.25,38.4864598,35.62189438,38.4864598,-1.202329647,937.5,22.80370686,14.4804233,m,VN
chan_0122,oh,1.66,1.76,478.8410181,625,37.66153058,125,39.74313505,36.37679573,39.74313505,-2.081604467,906.25,25.46291767,12.19861292,625,38.25097648,125,41.1789659,37.42220353,41.1789659,-2.927989422,906.25,40.33383248,-2.082856,531.25,38.89847909,125,42.61451394,39.41413945,42.61451394,-3.716034842,906.25,24.17936332,14.71911578,m,VN
chan_0123,oh,2.58,2.64,396.2874592,406.25,31.39655314,140.625,43.31789656,41.02899572,43.31789656,-11.92134342,890.625,9.385439363,22.01111377,343.75,25.52727596,156.25,43.13035952,42.27137811,43.13035952,-17.60308356,921.875,1.736970334,23.790305626,343.75,32.97590853,156.25,42.31940445,41.61856895,42.31940445,-9.34349592,921.875,9.210791313,23.76511722,m,VN
chan_0124,aa,1.41,1.49,610.2518098,562.5,12.45277262,156.25,39.24173885,31.7696976,39.24173885,-26.78896622,1000,11.36023372,1.0925389,1093.75,2.95084325,125,25.37766455,17.09095783,25.37766455,-22.4268213,968.75,-2.51930983,5.47015308,1125,4.833645956,156.25,16.74152307,10.82457773,16.74152307,-11.90787712,968.75,-1.641904358,6.475550314,m,VN
chan_0124,i,6.03,6.14,298.4988317,453.125,42.62942676,140.625,45.2046835,40.44359621,45.2046835,-2.575256741,1015.625,24.58183847,18.04758828,734.375,43.08539791,140.625,44.84328683,39.61944352,44.84328683,-1.757888922,1015.625,34.95806739,8.12733052,750,41.97096784,156.25,45.77622665,40.810755,45.77622665,-3.80525881,921.875,32.22329513,9.747672713,m,VN
chan_0126,oh,5.27,5.34,454.90288,500,32.75589674,125,31.85338251,32.6692935,8.378689257,24.37720749,968.75,27.1531071,5.602789643,718.75,33.64904381,125,32.70764616,32.36104356,33.64904381,0,968.75,30.5087078,3.14033601,718.75,34.73800759,125,34.35290765,31.85861027,34.73800759,0,968.75,33.62083731,1.117170275,m,VN
chan_0127,A,2.04,2.18,1036.771939,375,36.48929771,159.5057911,37.61331363,37.41319825,37.61331363,-1.124015923,1000,18.48083077,18.00846694,375,33.25852778,130.9730482,36.74096011,34.11315855,36.74096011,-3.482432325,937.5,4.170991925,29.087535855,375,38.20509012,161.7027275,38.89678509,38.47176887,39.09636579,-0.891275668,937.5,16.36506848,21.84002164,m,VN
chan_0127,oh,2.79,2.84,408.5284146,375,38.39250459,125,39.59704402,40.50899637,14.5136218,23.87888279,1000,11.25921201,27.13329258,468.75,35.73957972,125,39.87166454,41.03784079,5.808806371,29.93077335,906.25,10.4229231,25.31665662,343.75,35.22105513,125,39.32472266,39.38521913,12.08410391,23.13695122,1000,8.418596108,26.80245902,m,VN
chan_0128,i,2.24,2.31,313.0384022,546.875,32.91948586,140.625,39.70518996,37.56246668,39.70518996,-6.785704096,937.5,23.5128612,9.406624663,734.375,40.33247298,125,37.88833072,38.13552871,9.092016227,31.24045676,984.375,33.69211977,6.64035321,734.375,41.63789433,125,40.37695481,38.8222824,41.63789433,0,984.375,30.96867892,10.66921541,m,VN
chan_0130,E,4.53,4.61,656.8848035,562.5,29.74125332,128.5892673,38.65834824,35.66487779,39.35821873,-9.616965404,937.5,22.98467171,6.75658161,437.5,39.33520421,129.147425,38.93827483,36.11221182,39.33520421,0,1000,26.93874526,12.39645895,437.5,39.36707389,130.1243308,39.22454395,36.13856594,39.36707389,0,1000,28.47296847,10.89410542,m,VN
chan_0130,A,5.07,5.15,717.8770076,328.125,19.94214578,140.625,40.72799033,35.76102973,40.72799033,-20.78584455,890.625,13.14343735,6.798708436,406.25,34.64735897,140.625,40.32303166,35.31229576,40.32303166,-5.675672688,906.25,11.4057407,23.24161827,359.375,30.17360799,125,38.11646321,34.35484507,38.11646321,-7.942855221,890.625,10.49858636,19.67502163,m,VN
chan_0131,aa,1.96,2,496.9506506,468.75,47.42148982,156.25,46.14860319,43.52999291,47.42148982,0,921.875,19.74955423,27.6719356,468.75,48.78797712,156.25,46.24272291,43.92469277,48.78797712,0,937.5,21.70965165,27.07832547,421.875,36.64638371,140.625,36.11665846,32.54911473,36.64638371,0,921.875,7.594190502,29.05219321,m,VN
chan_0131,A,3.36,3.46,493.1564195,375,24.61022556,125,32.06613631,29.92595497,32.06613631,-7.45591075,1000,16.23585719,8.374368374,375,30.49384339,125,35.29125647,34.91980927,36.56822672,-6.074383329,1000,12.03075468,18.46308871,375,36.78127073,125,33.59279272,35.39345349,30.663601,6.117669725,1000,8.917704961,27.86356577,m,VN
chan_0132,aa,3.45,3.52,590.4310207,687.5,29.56859355,156.25,39.20904976,34.34636101,39.20904976,-9.640456203,875,25.32395572,4.244637831,593.75,31.44050931,156.25,39.45947165,34.3885925,39.45947165,-8.018962343,875,28.38190571,3.0586036,437.5,39.48775049,156.25,39.0297419,34.95818794,39.48775049,0,906.25,26.8105124,12.67723809,m,VN
chan_0133,oh,2.79,2.84,419.9258412,531.25,32.19781618,125,37.84002272,35.04960897,37.84002272,-5.64220654,906.25,12.35321572,19.84460046,562.5,33.4081452,125,38.09984444,36.05620064,38.09984444,-4.691699239,906.25,14.91188731,18.49625789,562.5,32.55603048,125,38.76199452,36.25407819,38.76199452,-6.205964044,906.25,15.39767387,17.1583566,m,VN
chan_0133,oh,8.7,8.76,404.4206275,437.5,37.47021965,156.25,38.32046915,36.51713116,38.32046915,-0.8502495,906.25,24.67926242,12.79095723,437.5,38.74335754,156.25,38.2487181,36.66923947,38.83990557,-0.096548028,906.25,21.26205051,17.48130703,437.5,35.70201123,156.25,35.76003377,30.72995882,35.76003377,-0.058022539,875,17.88687453,17.8151367,m,VN
chan_0134,aa,0.85,0.97,573.465146,593.75,32.51730613,156.25,37.28960042,36.16388611,39.47061281,-6.953306684,937.5,25.89796349,6.619342638,500,38.47653073,156.25,38.21310631,36.14060943,38.47653073,0,968.75,30.26448465,8.21204608,500,39.0040178,156.25,38.72249081,36.06246285,39.0040178,0,1000,34.97982041,4.024197394,m,VN
chan_0134,oh,1.32,1.41,435.2208482,375,30.93698618,140.2740607,32.21769246,29.26494034,32.21769246,-1.280706281,937.5,3.221454553,27.71553162,375,27.41147694,125,32.89395337,29.50219361,32.99683171,-5.585354772,937.5,1.908059724,25.503417216,375,32.52520527,125,33.34206877,32.09136304,33.34206877,-0.816863494,937.5,0.356144009,32.16906127,m,VN
chan_0135,oh,0.53,0.58,415.6822583,343.75,36.60691596,156.25,40.99584733,40.85201131,40.99584733,-4.388931371,906.25,11.31880413,25.28811184,343.75,36.32431662,156.25,41.21861645,41.05472375,41.21861645,-4.894299826,937.5,2.754220943,33.570095677,312.5,29.8786849,156.25,37.91061677,29.8786849,37.91061677,-8.031931879,875,-3.86658425,33.74526914,m,VN
chan_0135,A,3.11,3.24,919.1898572,437.5,32.11725864,129.8435641,35.49522169,28.41828035,35.49522169,-3.377963043,937.5,14.30155564,17.815703,375,37.23486079,130.3236492,35.25649944,35.99259529,31.42738654,5.807474253,1000,15.4477656,21.78709519,437.5,37.87512442,132.4242583,35.33202984,33.34543778,37.87512442,0,1000,9.949166807,27.92595761,m,VN
chan_0135,oh,3.89,3.95,413.7852715,531.25,23.10277874,125,31.8129069,33.18017599,14.46613123,8.636647511,906.25,10.01859196,13.08418678,625,14.84499287,125,31.05502211,33.06165423,11.39007863,3.454914244,906.25,7.846615844,6.998377026,562.5,11.59194649,125,28.46422439,29.81876714,14.59046237,-2.998515879,1000,-1.485190874,13.07713736,m,VN
chan_0136,oh,0.85,0.91,412.4159997,312.5,38.62069168,156.25,41.30785591,38.62069168,41.30785591,-2.687164229,906.25,1.531315763,37.08937592,343.75,35.42634654,156.25,40.40655369,40.08896224,40.40655369,-4.980207157,906.25,2.938078833,32.488267707,343.75,34.08049227,156.25,39.64386779,38.28817765,39.64386779,-5.563375526,1000,-2.779066044,36.85955831,m,VN
chan_0139,ee,7.37,7.52,412.4991141,390.625,37.0575259,125,39.34296911,37.62150634,39.34296911,-2.285443211,906.25,3.85943441,33.19809149,390.625,40.79597071,125,39.76252013,39.31725751,40.79597071,0,921.875,-0.909463839,41.705434549,390.625,38.74486126,140.625,38.42694154,38.20002103,38.74486126,0,937.5,-0.852710001,39.59757126,m,VN
chan_0143,A,4.35,4.42,689.6427321,781.25,21.45274256,125,38.51644066,33.93165907,38.51644066,-17.0636981,937.5,15.31422089,6.138521677,812.5,23.92616876,125,38.76784664,34.57587004,38.76784664,-14.84167788,968.75,14.48643503,9.43973373,718.75,24.25711643,156.25,39.45712837,35.70003907,39.45712837,-15.20001194,875,21.54651658,2.710599849,m,VN
chan_0147,aa,1.28,1.42,552.2730459,1406.25,-14.51091257,140.625,-0.504043878,-4.897393015,4.964747502,-19.47566007,1000,-15.97417983,1.463267257,1609.375,18.39639857,140.625,-1.344028833,8.164706701,-10.79608096,29.19247952,890.625,0.076027592,18.320370978,1484.375,6.194940513,156.25,4.070887755,1.073074825,11.71787829,-5.522937778,1015.625,-12.4886369,18.68357741,m,VN
chan_0151,A,1.17,1.27,554.8033646,460.9375,40.62359747,117.1875,38.89537215,39.258338,4.821272928,35.80232454,906.25,10.51379358,30.10980389,437.5,37.86229416,109.375,33.72516672,36.25114741,2.443040588,35.41925357,898.4375,0.883936858,36.978357302,468.75,23.62068163,117.1875,27.87340182,18.55086963,27.87340182,-4.252720188,898.4375,-6.204651046,29.82533268,m,VN
chan_0159,aa,4.78,4.84,460.4155344,656.25,36.06014959,125,38.00650172,34.55311322,38.00650172,-1.94635213,921.875,33.60440127,2.45574832,640.625,36.71757477,125,38.5774625,35.49268996,38.96347138,-2.245896612,906.25,28.44527892,8.27229585,625,38.61723855,125,38.44283694,37.11028883,38.61723855,0,1000,23.84129847,14.77594008,m,VN
chan_016,i,1.81,1.89,335.5289944,437.5,41.38696048,156.25,43.92910279,40.34147233,43.92910279,-2.542142313,906.25,22.02394394,19.36301654,437.5,42.71115486,156.25,44.13954771,39.42793034,44.13954771,-1.428392851,906.25,25.13060012,17.58055474,437.5,42.07163975,156.25,43.84749849,38.7776172,43.84749849,-1.775858739,875,24.46662604,17.60501371,m,VN
chan_0160,aa,12.74,12.85,554.8260467,343.75,27.4259983,125,35.59384268,35.90541957,3.402146373,24.02385193,906.25,11.93049618,15.49550212,375,35.40799986,125,35.07518298,35.73967511,7.385012989,28.02298687,968.75,2.205866098,33.202133762,343.75,33.16490134,125,33.69820576,34.20121536,10.70759047,22.45731087,937.5,1.764188056,31.40071328,m,VN
chan_0161,ee,5.5,5.69,407.3999142,781.25,33.70464596,125,40.69279825,36.30897906,40.69279825,-6.98815229,906.25,25.40466976,8.299976197,406.25,40.65693017,125,41.51579454,37.50558261,41.51579454,-0.858864378,937.5,33.43672501,7.22020516,406.25,42.60326984,125,41.81619727,39.70008054,42.60326984,0,937.5,19.23732121,23.36594863,m,VN
